stationid,name,city,landkreis,lat,lon,address
71,Schusterstraße,Mainz,07315,50.0015564,8.2713849,"Schusterstraße, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland"
72,Stadthausstraße,Mainz,07315,50.0008405,8.2713699,"Stadthausstraße, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland"
73,Neuhauser Straße,München,09162,48.1384811,11.5693802,"Neuhauser Straße, Bezirksteil Kreuzviertel, Stadtbezirk 01 Altstadt-Lehel, München, Bayern, 80331, Deutschland"
74,Schützenstraße,München,09162,48.140083,11.5615895,"Schützenstraße, Bezirksteil Ludwigsvorstadt-Kliniken, Stadtbezirk 02 Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80335, Deutschland"
75,Bahnhofstraße,Saarbrücken,10041,49.238602549999996,6.990666132001479,"Bahnhofstraße, Hauptbahnhof, Sankt Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66111, Deutschland"
76,Königstraße (Mitte),Stuttgart,08111,48.7782957,9.1781591,"Königstraße, Neue Vorstadt, Stuttgart-Mitte, Stuttgart, Baden-Württemberg, 70173, Deutschland"
77,Königstraße (Süd),Stuttgart,08111,48.7782957,9.1781591,"Königstraße, Neue Vorstadt, Stuttgart-Mitte, Stuttgart, Baden-Württemberg, 70173, Deutschland"
78,Münsterplatz ,Ulm,08421,48.398336900000004,9.991038228313956,"Münsterplatz, Ulm, Baden-Württemberg, 89073, Deutschland"
79,Kirchgasse (Mitte),Wiesbaden,06414,50.0777823,8.2382977,"Kirchgasse, Mitte, Wiesbaden, Hessen, 65185, Deutschland"
81,Spitalerstraße,Hamburg,02000,53.5519945,10.0027713,"Spitalerstraße, Altstadt, Hamburg, 20095, Deutschland"
81,Spitalerstraße,Hamburg,02000,53.5519945,10.0027713,"Spitalerstraße, Altstadt, Hamburg, 20095, Deutschland"
84,Rathausgasse,Freiburg,08311,47.995773,7.849758,"Rathausgasse, Altstadt-Mitte, Altstadt, Freiburg im Breisgau, Baden-Württemberg, 79098, Deutschland"
85,Am Brand,Mainz,07315,50.0005603,8.2726134,"Am Brand, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland"
86,Löhrstraße (Mitte),Koblenz,07111,50.3562736,7.5912089,"Löhrstraße, Mitte, Koblenz, Rheinland-Pfalz, 56068, Deutschland"
87,Poststraße,Bonn,05314,50.7332612,7.0976424,"Poststraße, Bonn-Zentrum, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53111, Deutschland"
88,Breite Gasse,Nürnberg,09564,49.4500928,11.0744759,"Breite Gasse, Altstadt, St. Lorenz, Lorenz, Nürnberg, Bayern, 90402, Deutschland"
89,Kaiserstraße,Nürnberg,09564,49.4522998,11.0751788,"Kaiserstraße, Altstadt, St. Lorenz, Lorenz, Nürnberg, Bayern, 90403, Deutschland"
90,Karolinenstraße,Nürnberg,09564,49.4509655,11.0778783,"Karolinenstraße, Altstadt, St. Lorenz, Lorenz, Nürnberg, Bayern, 90402, Deutschland"
